2023-11-19 14:57:29,312 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Configure stats pid to 865648
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Loading settings from /home/wanghm/.config/wandb/settings
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Loading settings from /alpha/overcooked_rl/algorithms/baselines/wandb/settings
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'algorithms/baselines/bcp.py', 'program_abspath': '/alpha/overcooked_rl/algorithms/baselines/bcp.py', 'program': 'bcp.py'}
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_init.py:_log_setup():528] Logging user logs to /alpha/overcooked_rl/algorithms/baselines/wandb/run-20231119_145729-m6zp587q/logs/debug.log
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_init.py:_log_setup():529] Logging internal logs to /alpha/overcooked_rl/algorithms/baselines/wandb/run-20231119_145729-m6zp587q/logs/debug-internal.log
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_init.py:init():568] calling init triggers
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'hidden_dim': 128, 'batch_size': 4096, 'mini_batch_size': 128, 'use_minibatch': True, 'lr': 0.0009, 'gamma': 0.99, 'epsilon': 0.05, 'use_state_norm': False, 'use_reward_scaling': True, 'entropy_coef': 0.01, 'device': 'cpu', 'layout': 'coordination_ring', 'num_episodes': 2000, 'seed': 1, 'max_episode_steps': 600, 't_max': 1200000, 'state_dim': 96, 'action_dim': 6}
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_init.py:init():618] starting backend
2023-11-19 14:57:29,313 INFO    MainThread:865648 [wandb_init.py:init():622] setting up manager
2023-11-19 14:57:29,313 INFO    MainThread:865648 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-19 14:57:29,314 INFO    MainThread:865648 [wandb_init.py:init():628] backend started and connected
2023-11-19 14:57:29,316 INFO    MainThread:865648 [wandb_init.py:init():720] updated telemetry
2023-11-19 14:57:29,329 INFO    MainThread:865648 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-19 14:57:30,251 INFO    MainThread:865648 [wandb_run.py:_on_init():2220] communicating current version
2023-11-19 14:57:31,150 INFO    MainThread:865648 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.16.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-11-19 14:57:31,150 INFO    MainThread:865648 [wandb_init.py:init():804] starting run threads in backend
2023-11-19 14:57:32,630 INFO    MainThread:865648 [wandb_run.py:_console_start():2199] atexit reg
2023-11-19 14:57:32,630 INFO    MainThread:865648 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-19 14:57:32,630 INFO    MainThread:865648 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-19 14:57:32,630 INFO    MainThread:865648 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-19 14:57:32,631 INFO    MainThread:865648 [wandb_init.py:init():845] run started, returning control to user process
2023-11-19 15:18:57,789 INFO    MainThread:865648 [wandb_run.py:_finish():1934] finishing run wanghm/overcooked_rl/m6zp587q
2023-11-19 15:18:57,789 INFO    MainThread:865648 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-11-19 15:18:57,789 INFO    MainThread:865648 [wandb_run.py:_restore():2151] restore
2023-11-19 15:18:57,790 INFO    MainThread:865648 [wandb_run.py:_restore():2157] restore done
2023-11-19 15:21:34,264 INFO    MainThread:865648 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-11-19 15:21:34,264 INFO    MainThread:865648 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-11-19 15:21:34,266 INFO    MainThread:865648 [wandb_run.py:_footer_sync_info():3558] logging synced files
