mean_score,total_steps,std_score,max_score,min_score
11.0,1,0.0,11.0,11.0
21.970666666666663,2,0.0,21.970666666666663,21.970666666666663
44.93333333333332,3,0.0,44.93333333333332,44.93333333333332
18.924,4,0.0,18.924,18.924
39.89333333333334,5,0.0,39.89333333333334,39.89333333333334
2.98,6,0.0,2.98,2.98
16.864,7,0.0,16.864,16.864
8.916,8,0.0,8.916,8.916
10.882666666666665,9,0.0,10.882666666666665,10.882666666666665
16.796,10,0.0,16.796,16.796
16.773333333333333,11,0.0,16.773333333333333,16.773333333333333
2.956,12,0.0,2.956,2.956
13.776,13,0.0,13.776,13.776
27.514666666666667,14,0.0,27.514666666666667,27.514666666666667
5.888,15,0.0,5.888,5.888
